accession,name,ncbi_group,group,strain,biosample,bioproject,study,source,reference,status,size,gc,replicons,wgs,scaffolds,CDS,release_date,genbank_ftp,refseq_ftp
GCA_003151425.1,Acetobacteraceae bacterium,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,palsa_925,SAMN08179896,PRJna386568,peat metagenome,wetlands,Woodcroft et al. 2018 nature,Scaffold,7.74829,66.3,,PLXO01,368,0,2018-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/151/425/GCA_003151425.1_20120700_P3D,
GCA_003164175.1,Acetobacteraceae bacterium,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,bog_936,SAMN08179973,PRJna386568,peat metagenome,wetlands,Woodcroft et al. 2018 nature,Scaffold,5.13427,62.6,,PLSL01,773,0,2018-05-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/164/175/GCA_003164175.1_20120700_S1D,
GCA_003164305.1,Acetobacteraceae bacterium,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,bog_934,SAMN08179959,PRJna386568,peat metagenome,wetlands,Woodcroft et al. 2018 nature,Scaffold,6.93661,64.3,,PLSZ01,690,0,2018-05-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/164/305/GCA_003164305.1_20120700_S1D,
GCA_003168115.1,Acetobacteraceae bacterium,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,palsa_883,SAMN08178912,PRJna386568,peat metagenome,wetlands,Woodcroft et al. 2018 nature,Scaffold,7.51179,66.2,,PMTH01,673,0,2018-05-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/168/115/GCA_003168115.1_20110700_P2D,
GCA_003506895.1,Acetobacteraceae bacterium,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,UBA8620,SAMN08018864,PRJna417962,soil metagenome,terrestrial,Parks et al. 2018 nature Biotech GTDB,Scaffold,5.57693,61.9,,DNXO01,173,5366,2018-09-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/506/895/GCA_003506895.1_ASM350689v1,
GCA_004193435.1,Acetobacteraceae bacterium,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,PMG_054,SAMN10678484,PRJna272922,Biodegradation of isoprene in the terrestrial and marine environment,terrestrial,Crombie et al. 2018 PnaS,Scaffold,4.04215,70.6,,SDXW01,1883,4783,2019-02-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/193/435/GCA_004193435.1_ASM419343v1,
GCA_003258945.1,Acetobacteraceae bacterium DB1506,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,DB1506,SAMN09425326,PRJna476037,air conditioning system,built_environment,na,Contig,5.82308,72.5,,QLIX01,87,5223,2018-06-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/258/945/GCA_003258945.1_ASM325894v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/258/945/GCF_003258945.1_ASM325894v1
GCA_002422345.1,Acetobacteraceae bacterium UBA6159,Bacteria;Proteobacteria;Alphaproteobacteria,Alphaproteobacteria,UBA6159,SAMN06453532,PRJna348753,hydrocarbon metagenome,engineered,Parks et al. 2017 nature Micro,Scaffold,4.62817,66.5,,DIUL01,235,0,2017-10-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/422/345/GCA_002422345.1_ASM242234v1,
GCA_900496965.1,Achromobacter agilis,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,LMG 3411,SAMEA4780388,PRJEB27656,isolate,isolate,Dumolin et al. 2019,Contig,6.37648,66.5,,UFQB01,63,5803,2019-01-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/496/965/GCA_900496965.1_LMG_3411T,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/496/965/GCF_900496965.1_LMG_3411T
GCA_001945385.1,Achromobacter denitrificans,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,MT3,SAMN06198582,PRJna359932,isolate,isolate,na,Scaffold,6.69144,67.6,,MSTP01,193,6110,2017-01-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/945/385/GCA_001945385.1_ASM194538v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/945/385/GCF_001945385.1_ASM194538v1
GCA_002192685.1,Achromobacter denitrificans,Bacteria;Proteobacteria;Betaproteobacteria,Betaproteobacteria,DP_1,SAMN06009452,PRJna184698,sediment metagenome,terrestrial,na,Contig,6.54264,67.6,,MTLH01,222,6011,2017-06-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/192/685/GCA_002192685.1_ASM219268v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/192/685/GCF_002192685.1_ASM219268v1
