accession,name,ncbi_group,group,strain,biosample,bioproject,study,source,reference,status,size,gc,replicons,wgs,scaffolds,CDS,release_date,genbank_ftp,refseq_ftp
2519103005,Betaproteobacteria,NA,Betaproteobacteria,NA,NA,NA,Lake_Mendota_TB,freshwater,Linz et al. 2018,,,,,,,,,,
2524023174,Betaproteobacteria,NA,Betaproteobacteria,NA,NA,NA,Lake_Mendota_TB,freshwater,Linz et al. 2018,,,,,,,,,,
2524023176,Betaproteobacteria,NA,Betaproteobacteria,NA,NA,NA,Lake_Mendota_TB,freshwater,Linz et al. 2018,,,,,,,,,,
2582580515,Betaproteobacteria,NA,Betaproteobacteria,NA,NA,NA,Lake_Mendota_TB,freshwater,Linz et al. 2018,,,,,,,,,,
2582580538,Betaproteobacteria,NA,Betaproteobacteria,NA,NA,NA,Lake_Mendota_TB,freshwater,Linz et al. 2018,,,,,,,,,,
2582580633,Betaproteobacteria,NA,Betaproteobacteria,NA,NA,NA,Lake_Mendota_TB,freshwater,Linz et al. 2018,,,,,,,,,,
2582580700,Betaproteobacteria,NA,Betaproteobacteria,NA,NA,NA,Lake_Mendota_TB,freshwater,Linz et al. 2018,,,,,,,,,,
2619618801,Betaproteobacteria,NA,Betaproteobacteria,NA,NA,NA,Lake_Mendota_TB,freshwater,Linz et al. 2018,,,,,,,,,,
2619618802,Betaproteobacteria,NA,Betaproteobacteria,NA,NA,NA,Lake_Mendota_TB,freshwater,Linz et al. 2018,,,,,,,,,,
2739367610,Betaproteobacteria,NA,Betaproteobacteria,NA,NA,NA,Lake_Mendota_TB,freshwater,Linz et al. 2018,,,,,,,,,,
2739367611,Betaproteobacteria,NA,Betaproteobacteria,NA,NA,NA,Lake_Mendota_TB,freshwater,Linz et al. 2018,,,,,,,,,,
GCA_000007865.1,Mycobacterium avium subsp. paratuberculosis K-10,Bacteria;Terrabacteria group;Actinobacteria,Actinobacteria,K-10,SAMN02604086,PRJna91,dairy herd in Wisconsin,animal_associated,Li et al. 2005,Complete,4.82978,69.3,chromosome:NC_002944.2/AE016958.1,,1,4311,2001-12-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/865/GCA_000007865.1_ASM786v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/865/GCF_000007865.1_ASM786v1
